"ReleaseVersion","InfRelativePath","InfSha256","Provider","Class","DriverVersion","DriverDate","KmdfStatus","KmdfVersions","UmdfStatus","UmdfVersions","HardwareIds"
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdas4.inf","cdd59f1a73499ab81d6c6a54b05f6643d0da29398790b8b54385e28a9a0c0a7d","%AMD%","System","1.2.0.0046","04/23/2019","NotDeclared","","NotDeclared","","ACPI\ASD0001;ACPI\AMDI0050"
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdcir.inf","26c92674daa845074a13620a305a4b3ae976cb02b7538bd8003ac616307ae73e","%AMD%","HIDClass","3.2.4.0110","12/15/2011","NotDeclared","","NotDeclared","",""
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdgpio2.inf","46656ae111218941e3febfad11059a232f8eb14be556df72cfdc022aa6665dc8","%AMD%","System","2.2.0.126","01/14/2020","NotDeclared","","NotDeclared","","ACPI\GPIO0010;ACPI\AMD0030;ACPI\AMDI0030"
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdgpio3.inf","5e2a7942a9c4c91703a51c17e46cc50bfe56d165d0ee20723a254cf5055a6f46","%AMD%","System","2.0.1.0000","04/02/2019","NotDeclared","","NotDeclared","","ACPI\AMDF030;ACPI\AMDIF030"
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdhub3.inf","b5bc256d20b7c16d8e281e1c7c6ddb6cce3ccd55b2fdd6dcb4f25601aed277c9","%AMD%","USB","2.0.0.0060","03/05/2020","NotDeclared","","NotDeclared","",""
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdhub30.inf","fce4266aea73c1836e7cf3011d9d40dcb65683d0bff5988052f729df726a321f","%AMD%","USB","1.1.0.0276","12/04/2018","NotDeclared","","NotDeclared","",""
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdhub31.inf","b514192b23ed67460f4e515bab605d7143960ccb49b494382a1afb7a55ca0c8a","%Provider%","USB","1.0.5.3","01/22/2018","NotDeclared","","NotDeclared","","USB\AMD_HUB31;USB\AMD_HUB31SS;USB\AMDROOT_HUB31&VID1022&PID43B9&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43BA&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43BB&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43BC&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D0&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D1&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D2&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D3&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D4&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D5&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D6&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D7&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D8&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43D9&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43DA&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43DB&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43DC&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43DD&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43DE&VER0001000000050003;USB\AMDROOT_HUB31&VID1022&PID43DF&VER0001000000050003"
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdi2c.inf","514949662e07f27f0a47d8b288aa055bf79ccea0b0da7905a112fd899fa54b90","%AMD%","System","1.2.0.99","04/02/2019","NotDeclared","","NotDeclared","","ACPI\AMD0010;ACPI\AMDI0010"
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdiov.inf","c576646440bc1202899d84573fdf3054ce473f15c14e74d4a2753570d3c69fad","%AMD%","System","1.2.0.0043","11/12/2019","NotDeclared","","NotDeclared","","PCI\VEN_1022&DEV_15D1;PCI\VEN_1002&DEV_5A23;PCI\VEN_1022&DEV_1419;PCI\VEN_1022&DEV_1577;PCI\VEN_1022&DEV_1423;PCI\VEN_1022&DEV_1437;PCI\VEN_1022&DEV_1449;PCI\VEN_1022&DEV_1611;PCI\VEN_1022&DEV_1451;PCI\VEN_1022&DEV_1481"
"2.04.04.111","d4_Data1.cab_9ed7c73e0e1f\amdmicropep.inf","0d93b1f19aa6e4b29b5f1cb2272464f8d28a275c1b4578fee013e557601bb55c","%AMD%","System","1.0.25.0","12/04/2019","Declared","1.11","NotDeclared","","ACPI\AMD0004;ACPI\AMD0005;ACPI\AMDI0005"
