"ReleaseVersion","InfRelativePath","DeviceDescription","HardwareId","IdentifierKind","IdentifierType","CompatibleIds","InstallSection","ServerProfile","AsPublishedStatus","ServerProjectionStatus","DeviceSelection","StaticAssessment","KmdfRequired","KmdfAssessment","UmdfRequired","UmdfAssessment"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amd3dvcache.inf","AMD 3D V-Cache Performance Optimizer","ACPI\AMDI0101","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","Amd3dvcache_Device","windows-server-2016","NotApplicableByBuild","NoProjectionCandidate","No(Build)","NotApplicable","1.15","SatisfiedByDocumentedReference",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amd3dvcache.inf","AMD 3D V-Cache Performance Optimizer","ACPI\AMDI0101","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","Amd3dvcache_Device","windows-server-2019","NotApplicableByBuild","NoProjectionCandidate","No(Build)","NotApplicable","1.15","SatisfiedByDocumentedReference",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amd3dvcache.inf","AMD 3D V-Cache Performance Optimizer","ACPI\AMDI0101","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","Amd3dvcache_Device","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate","1.15","SatisfiedByDocumentedReference",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amd3dvcache.inf","AMD 3D V-Cache Performance Optimizer","ACPI\AMDI0101","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","Amd3dvcache_Device","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate","1.15","SatisfiedByDocumentedReference",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdappcompat.inf","AMD Application Compatibility Database","ACPI\AMDI0204","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAppCompat_Device","windows-server-2016","NotApplicableByBuild","NoProjectionCandidate","No(Build)","NotApplicable","1.15","SatisfiedByDocumentedReference",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdappcompat.inf","AMD Application Compatibility Database","ACPI\AMDI0204","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAppCompat_Device","windows-server-2019","NativeApplicable","NotRequired","Native","NativeCandidate","1.15","SatisfiedByDocumentedReference",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdappcompat.inf","AMD Application Compatibility Database","ACPI\AMDI0204","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAppCompat_Device","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate","1.15","SatisfiedByDocumentedReference",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdappcompat.inf","AMD Application Compatibility Database","ACPI\AMDI0204","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAppCompat_Device","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate","1.15","SatisfiedByDocumentedReference",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdas4.inf","AmdAS4 Device","ACPI\AMDI0050","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAS4","windows-server-2016","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdas4.inf","AmdAS4 Device","ACPI\AMDI0050","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAS4","windows-server-2019","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdas4.inf","AmdAS4 Device","ACPI\AMDI0050","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAS4","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdas4.inf","AmdAS4 Device","ACPI\AMDI0050","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAS4","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdas4.inf","AmdAS4 Device","ACPI\ASD0001","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAS4","windows-server-2016","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdas4.inf","AmdAS4 Device","ACPI\ASD0001","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAS4","windows-server-2019","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdas4.inf","AmdAS4 Device","ACPI\ASD0001","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAS4","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdas4.inf","AmdAS4 Device","ACPI\ASD0001","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","AmdAS4","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC001","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2016","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC001","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2019","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC001","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC001","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC002","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2016","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC002","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2019","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC002","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC002","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC003","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2016","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC003","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2019","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC003","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdcir.inf","AMD CIR Driver","*AMDC003","GenericHardwareId","Generic PnP hardware ID","","AMDCIR64","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMD0030","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2016","NotApplicableByBuild","NoProjectionCandidate","No(Build)","NotApplicable",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMD0030","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2019","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMD0030","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMD0030","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMDI0030","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2016","NotApplicableByBuild","NoProjectionCandidate","No(Build)","NotApplicable",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMDI0030","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2019","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMDI0030","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMDI0030","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMDI0031","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2016","NotApplicableByBuild","NoProjectionCandidate","No(Build)","NotApplicable",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMDI0031","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2019","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMDI0031","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2022","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
"8.07.16.1035","d3_Data1.cab_f8f372fbfc6d\amdgpio2.inf","AMD GPIO Controller","ACPI\AMDI0031","EnumeratorHardwareId","ACPI-enumerated PnP hardware ID","","GPIO_Inst","windows-server-2025","NativeApplicable","NotRequired","Native","NativeCandidate",,"NotDeclared",,"NotDeclared"
