ReleaseVersion,ArtifactFileName,ArtifactSha256,InfCount,KmdfDeclaredVersions,KmdfMaxVersion,UmdfDeclaredVersions,UmdfMaxVersion,EmbeddedProductCount,DeviceMappingCount
2.04.04.111,amd_software_2.04.04.111.zip,d23a9cc4be06ab46c88918e523d11a96ca56b132f3b4646d2e8f9e17abf97185,24,1.11;1.15,1.15,2.15.0,2.15.0,26,0
3.08.17.735,amd_chipset_software_win10_3.08.17.735.zip,8ccb49cd82d8ae4d421224b0bba3769b161603fd0bd6edec3cd9072c321424a7,16,1.11;1.15,1.15,2.15.0,2.15.0,15,0
3.09.01.140,amd_chipset_software_3.09.01.140.zip,fc25b7c630c1eb803dd3ba8b9aa7ab9a19cc4e1703d92bf855c56d753f7143f4,16,1.11;1.15,1.15,2.15.0,2.15.0,15,0
3.10.08.506,amd_chipset_software_3.10.08.506.exe,851c0364acd6ec91c54f260729f875de727541b2acb0f5e8930ab51227ce2f53,16,1.11;1.15,1.15,2.15.0,2.15.0,27,0
4.03.03.431,amd_chipset_software_4.03.03.431.exe,09f95393059dafbc69a7dbd94ec6f913d491433b98c9d8fbb878154f0e8e8a58,16,1.11;1.15,1.15,2.15.0,2.15.0,28,0
4.06.10.651,amd_chipset_software_4.06.10.651.exe,62d26285266434edb467f794a219fbb37565a7202a05c2301c6906e96e0cb9d8,24,1.11;1.15;1.19,1.19,2.15.0,2.15.0,39,0
4.08.09.2337,amd_chipset_software_4.08.09.2337.exe,833fa334cf50d91db0eece9d44636b7c598ae2f8178a8f21ddcc9a6f1cb964b0,24,1.11;1.15;1.19,1.19,2.15.0,2.15.0,39,0
4.09.23.507,amd_chipset_software_4.09.23.507.exe,7df442d143e44e7304fb3c363e64db8824610a1f6f30cfd19796383034fb308d,24,1.11;1.15;1.19,1.19,2.15.0,2.15.0,39,0
4.11.15.342,amd_chipset_software_4.11.15.342.exe,fdcbece1e12de9cc1b4972d8c455f6fe84c08a8907f21ab885712d2819089199,24,1.11;1.15;1.19,1.19,2.15.0,2.15.0,39,0
5.02.19.2221,amd_chipset_software_5.02.19.2221.exe,2bab898aa32491a4368c51b56ba174e2ab6451d5eee805420feb5827a16add40,25,1.11;1.15;1.19,1.19,2.15.0,2.15.0,41,0
5.05.16.529,amd_chipset_software_5.05.16.529.exe,2173e4d141f90b32ed940cf167d9bd5d07f375bd71048cdf8b4e6f33db201bbf,26,1.11;1.15;1.19,1.19,2.15.0,2.15.0,41,0
5.08.02.027,amd_chipset_software_5.08.02.027.exe,4bd9580842b8beb17cea3fdafa87b047117447656bbbeeb9a31a3f090d43cbeb,27,1.11;1.15;1.19,1.19,2.15.0,2.15.0,47,0
6.01.25.342,amd_chipset_software_6.01.25.342.exe,1c5ff560c404992119c87dc75b19629a66c611203b0e3442e8e427151d45d824,27,1.11;1.15;1.19,1.19,2.15.0,2.15.0,48,0
6.02.07.2300,amd_chipset_software_6.02.07.2300.exe,166d0aa6eb1601c8feaf889167d821f081992796aa91561d0a34d567b6393e81,27,1.11;1.15;1.19,1.19,2.15.0,2.15.0,48,0
6.05.28.016,amd_chipset_software_6.05.28.016.exe,aec3062bbcba01ddb5f1154b3fa8d7a79dd237c630c205f2e5a97fbcdfea5926,28,1.11;1.15;1.19,1.19,2.15.0,2.15.0,52,0
6.07.22.037,amd_chipset_software_6.07.22.037.exe,32694c806ee3eafa0d4c850ed74d9466726e32ce9dbacfbdd40a8c4ea188cb8d,28,1.11;1.13;1.15;1.19,1.19,2.15.0,2.15.0,53,0
6.10.17.152,AMD_Chipset_Software_6.10.17.152.exe,e5bb2e43218248103a0aa8841b906ae96c7391598de416e51373b255819554bf,28,1.11;1.13;1.15;1.19,1.19,2.15.0,2.15.0,53,0
7.02.13.148,amd_chipset_software_7.02.13.148.exe,712b60740e647664a24193c2b43d22479bf3d55ffcf8994963a902bcee9eb9ea,30,1.11;1.13;1.15;1.19,1.19,2.15.0,2.15.0,59,37
7.04.09.545,AMD_Chipset_Software_7.04.09.545.exe,880ae8823175ca4db831761ed1259a74bcbd824cab2468506ddf97c64b742450,30,1.11;1.13;1.15;1.19,1.19,2.15.0,2.15.0,59,37
7.06.02.123,amd_chipset_software_7.06.02.123.exe,3753b0e41ead2b1c3a94f57e08521119163276d9f3b7f769ae664beaac095a70,30,1.11;1.13;1.15;1.19,1.19,2.15.0,2.15.0,59,37
7.11.26.2142,AMD_Chipset_Software_7.11.26.2142.exe,1acd6dadcc3b4bca9451ff170d7a5a049309b827f74cf54b2a3684bf16a34856,31,1.13;1.15;1.19,1.19,2.15.0,2.15.0,62,38
8.01.20.513,amd_chipset_software_8.01.20.513.exe,ac9c4c4c17b024a724be815f3ad1cf6780efece6ddc73d8651e58b1b0497cf98,29,1.13;1.15;1.19,1.19,2.15.0,2.15.0,58,38
8.02.18.557,amd_chipset_software_8.02.18.557.exe,7fbf24e6d890b2339ad0c51a12029064d9e1cef51426ffff1265c9927eebfc62,31,1.13;1.15;1.19,1.19,2.15.0,2.15.0,62,38
8.05.04.516,amd_chipset_software_8.05.04.516.exe,1609fbf1375ca1f25e461d1de7d21da096d018624d8b63dfc3d81cb6a8bde3ad,31,1.13;1.15;1.19,1.19,2.15.0,2.15.0,63,39
8.07.16.1035,amd_software_8.07.16.1035.exe,1b55dd2dd661d19c5ea4d49bd53b673783e673db9e427b709d404bb1bae66bdb,31,1.13;1.15;1.19,1.19,2.15.0,2.15.0,64,41
