"ReleaseVersion","ArtifactRole","InfRelativePath","Server","StaticAssessment","CanonicalStaticAssessment","SelectedHardwareIdCount","AsPublishedHardwareIdCount","ProjectionHardwareIdCount","RuntimeCompatibility"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2016","NOT_APPLICABLE","NotApplicable","0","0","0","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2019","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2022","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2025","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2016","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2019","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2022","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2025","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2016","NOT_APPLICABLE","NotApplicable","0","0","0","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2019","NATIVE_CANDIDATE","NativeCandidate","2","2","2","NotEstablished"
