"ReleaseVersion","ArtifactRole","DriverComponent","InfRelativePath","Server","BaseBuild","AsPublishedStatus","ProjectionStatus","StaticAssessment","CanonicalStaticAssessment","WdfScope","Confidence","RuntimeCompatibility","AsPublishedModelsSections","ProjectionModelsSections","AsPublishedHardwareIdCount","ProjectionHardwareIdCount","KMDFDeclared","KMDFDocumented","KMDFObserved","UMDFDeclared","ManifestMatchCount"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2016","14393","NotApplicableByBuild","NotApplicableByBuild","NOT_APPLICABLE","NotApplicable","InfWideConservative","STATIC_CANDIDATE","NotEstablished","","","0","0","1.15","1.19","","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2019","17763","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64.10.0...16299","AMD.NTAMD64.10.0...16299","1","1","1.15","1.27","1.27","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2022","20348","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64.10.0...16299","AMD.NTAMD64.10.0...16299","1","1","1.15","1.33","","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2025","26100","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64.10.0...16299","AMD.NTAMD64.10.0...16299","1","1","1.15","1.33","1.35","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2016","14393","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64","AMD.NTAMD64","1","1","1.15","1.19","","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2019","17763","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64","AMD.NTAMD64","1","1","1.15","1.27","1.27","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2022","20348","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64","AMD.NTAMD64","1","1","1.15","1.33","","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2025","26100","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64","AMD.NTAMD64","1","1","1.15","1.33","1.35","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2016","14393","NotApplicableByBuild","NotApplicableByBuild","NOT_APPLICABLE","NotApplicable","InfWideConservative","STATIC_CANDIDATE","NotEstablished","","","0","0","","1.19","","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2019","17763","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTamd64.10.0...16299","AMD.NTamd64.10.0...16299","2","2","","1.27","1.27","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2022","20348","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTamd64.10.0...16299","AMD.NTamd64.10.0...16299","2","2","","1.33","","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2025","26100","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTamd64.10.0...16299","AMD.NTamd64.10.0...16299","2","2","","1.33","1.35","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2016","14393","NotApplicableByBuild","NotApplicableByBuild","NOT_APPLICABLE","NotApplicable","InfWideConservative","STATIC_CANDIDATE","NotEstablished","","","0","0","","1.19","","","0"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2019","17763","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTamd64.10.0...16299","AMD.NTamd64.10.0...16299","3","3","","1.27","1.27","","0"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2022","20348","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTamd64.10.0...16299","AMD.NTamd64.10.0...16299","3","3","","1.33","","","0"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2025","26100","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTamd64.10.0...16299","AMD.NTamd64.10.0...16299","3","3","","1.33","1.35","","0"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus2\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2016","14393","NotApplicableByBuild","NotApplicableByBuild","NOT_APPLICABLE","NotApplicable","InfWideConservative","STATIC_CANDIDATE","NotEstablished","","","0","0","","1.19","","","0"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus2\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2019","17763","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTamd64.10.0...16299","AMD.NTamd64.10.0...16299","3","3","","1.27","1.27","","0"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus2\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2022","20348","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTamd64.10.0...16299","AMD.NTamd64.10.0...16299","3","3","","1.33","","","0"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\ACPBus2\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2025","26100","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTamd64.10.0...16299","AMD.NTamd64.10.0...16299","3","3","","1.33","1.35","","0"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\HDABus\WT64A\amdhdaudbus.inf","Windows Server 2016","14393","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64","AMD.NTAMD64","1","1","1.15","1.19","","","1"
